,eigval1,eigval2,m_e,b_e,m_w,b_w,perp
0,0j,1j,-1,0,0,4,True
1,0j,2j,-1,0,0,1,True
2,0j,3j,-1,0,0,5,True
3,0j,4j,-1,0,0,2,True
4,0j,5j,-1,0,0,6,True
5,0j,6j,-1,0,0,3,True
6,0j,(1+0j),0,0,-1,4.0,True
7,0j,(1+1j),1,0,6,1,True
8,0j,(1+2j),2,0,3,3,True
9,0j,(1+3j),3,0,2,4,True
10,0j,(1+4j),4,0,5,3,True
11,0j,(1+5j),5,0,4,4,True
12,0j,(1+6j),6,0,1,6,True
13,0j,(2+0j),0,0,-1,1.0,True
14,0j,(2+1j),4,0,5,6,True
15,0j,(2+2j),1,0,6,2,True
16,0j,(2+3j),5,0,4,1,True
17,0j,(2+4j),2,0,3,6,True
18,0j,(2+5j),6,0,1,5,True
19,0j,(2+6j),3,0,2,1,True
20,0j,(3+0j),0,0,-1,5.0,True
21,0j,(3+1j),5,0,4,5,True
22,0j,(3+2j),3,0,2,5,True
23,0j,(3+3j),1,0,6,3,True
24,0j,(3+4j),6,0,1,4,True
25,0j,(3+5j),4,0,5,2,True
26,0j,(3+6j),2,0,3,2,True
27,0j,(4+0j),0,0,-1,2.0,True
28,0j,(4+1j),2,0,3,5,True
29,0j,(4+2j),4,0,5,5,True
30,0j,(4+3j),6,0,1,3,True
31,0j,(4+4j),1,0,6,4,True
32,0j,(4+5j),3,0,2,2,True
33,0j,(4+6j),5,0,4,2,True
34,0j,(5+0j),0,0,-1,6.0,True
35,0j,(5+1j),3,0,2,6,True
36,0j,(5+2j),6,0,1,2,True
37,0j,(5+3j),2,0,3,1,True
38,0j,(5+4j),5,0,4,6,True
39,0j,(5+5j),1,0,6,5,True
40,0j,(5+6j),4,0,5,1,True
41,0j,(6+0j),0,0,-1,3.0,True
42,0j,(6+1j),6,0,1,1,True
43,0j,(6+2j),5,0,4,3,True
44,0j,(6+3j),4,0,5,4,True
45,0j,(6+4j),3,0,2,3,True
46,0j,(6+5j),2,0,3,4,True
47,0j,(6+6j),1,0,6,6,True
48,1j,0j,-1,0,0,4,True
49,1j,2j,-1,0,0,5,True
50,1j,3j,-1,0,0,2,True
51,1j,4j,-1,0,0,6,True
52,1j,5j,-1,0,0,3,True
53,1j,6j,-1,0,0,0,True
54,1j,(1+0j),6,1,1,0,True
55,1j,(1+1j),0,1,-1,4.0,True
56,1j,(1+2j),1,1,6,2,True
57,1j,(1+3j),2,1,3,4,True
58,1j,(1+4j),3,1,2,5,True
59,1j,(1+5j),4,1,5,4,True
60,1j,(1+6j),5,1,4,5,True
61,1j,(2+0j),3,1,2,2,True
62,1j,(2+1j),0,1,-1,1.0,True
63,1j,(2+2j),4,1,5,0,True
64,1j,(2+3j),1,1,6,3,True
65,1j,(2+4j),5,1,4,2,True
66,1j,(2+5j),2,1,3,0,True
67,1j,(2+6j),6,1,1,6,True
68,1j,(3+0j),2,1,3,3,True
69,1j,(3+1j),0,1,-1,5.0,True
70,1j,(3+2j),5,1,4,6,True
71,1j,(3+3j),3,1,2,6,True
72,1j,(3+4j),1,1,6,4,True
73,1j,(3+5j),6,1,1,5,True
74,1j,(3+6j),4,1,5,3,True
75,1j,(4+0j),5,1,4,3,True
76,1j,(4+1j),0,1,-1,2.0,True
77,1j,(4+2j),2,1,3,6,True
78,1j,(4+3j),4,1,5,6,True
79,1j,(4+4j),6,1,1,4,True
80,1j,(4+5j),1,1,6,5,True
81,1j,(4+6j),3,1,2,3,True
82,1j,(5+0j),4,1,5,2,True
83,1j,(5+1j),0,1,-1,6.0,True
84,1j,(5+2j),3,1,2,0,True
85,1j,(5+3j),6,1,1,3,True
86,1j,(5+4j),2,1,3,2,True
87,1j,(5+5j),5,1,4,0,True
88,1j,(5+6j),1,1,6,6,True
89,1j,(6+0j),1,1,6,0,True
90,1j,(6+1j),0,1,-1,3.0,True
91,1j,(6+2j),6,1,1,2,True
92,1j,(6+3j),5,1,4,4,True
93,1j,(6+4j),4,1,5,5,True
94,1j,(6+5j),3,1,2,4,True
95,1j,(6+6j),2,1,3,5,True
96,2j,0j,-1,0,0,1,True
97,2j,1j,-1,0,0,5,True
98,2j,3j,-1,0,0,6,True
99,2j,4j,-1,0,0,3,True
100,2j,5j,-1,0,0,0,True
101,2j,6j,-1,0,0,4,True
102,2j,(1+0j),5,2,4,6,True
103,2j,(1+1j),6,2,1,1,True
104,2j,(1+2j),0,2,-1,4.0,True
105,2j,(1+3j),1,2,6,3,True
106,2j,(1+4j),2,2,3,5,True
107,2j,(1+5j),3,2,2,6,True
108,2j,(1+6j),4,2,5,5,True
109,2j,(2+0j),6,2,1,0,True
110,2j,(2+1j),3,2,2,3,True
111,2j,(2+2j),0,2,-1,1.0,True
112,2j,(2+3j),4,2,5,1,True
113,2j,(2+4j),1,2,6,4,True
114,2j,(2+5j),5,2,4,3,True
115,2j,(2+6j),2,2,3,1,True
116,2j,(3+0j),4,2,5,4,True
117,2j,(3+1j),2,2,3,4,True
118,2j,(3+2j),0,2,-1,5.0,True
119,2j,(3+3j),5,2,4,0,True
120,2j,(3+4j),3,2,2,0,True
121,2j,(3+5j),1,2,6,5,True
122,2j,(3+6j),6,2,1,6,True
123,2j,(4+0j),3,2,2,4,True
124,2j,(4+1j),5,2,4,4,True
125,2j,(4+2j),0,2,-1,2.0,True
126,2j,(4+3j),2,2,3,0,True
127,2j,(4+4j),4,2,5,0,True
128,2j,(4+5j),6,2,1,5,True
129,2j,(4+6j),1,2,6,6,True
130,2j,(5+0j),1,2,6,0,True
131,2j,(5+1j),4,2,5,3,True
132,2j,(5+2j),0,2,-1,6.0,True
133,2j,(5+3j),3,2,2,1,True
134,2j,(5+4j),6,2,1,4,True
135,2j,(5+5j),2,2,3,3,True
136,2j,(5+6j),5,2,4,1,True
137,2j,(6+0j),2,2,3,6,True
138,2j,(6+1j),1,2,6,1,True
139,2j,(6+2j),0,2,-1,3.0,True
140,2j,(6+3j),6,2,1,3,True
141,2j,(6+4j),5,2,4,5,True
142,2j,(6+5j),4,2,5,6,True
143,2j,(6+6j),3,2,2,5,True
144,3j,0j,-1,0,0,5,True
145,3j,1j,-1,0,0,2,True
146,3j,2j,-1,0,0,6,True
147,3j,4j,-1,0,0,0,True
148,3j,5j,-1,0,0,4,True
149,3j,6j,-1,0,0,1,True
150,3j,(1+0j),4,3,5,6,True
151,3j,(1+1j),5,3,4,0,True
152,3j,(1+2j),6,3,1,2,True
153,3j,(1+3j),0,3,-1,4.0,True
154,3j,(1+4j),1,3,6,4,True
155,3j,(1+5j),2,3,3,6,True
156,3j,(1+6j),3,3,2,0,True
157,3j,(2+0j),2,3,3,2,True
158,3j,(2+1j),6,3,1,1,True
159,3j,(2+2j),3,3,2,4,True
160,3j,(2+3j),0,3,-1,1.0,True
161,3j,(2+4j),4,3,5,2,True
162,3j,(2+5j),1,3,6,5,True
163,3j,(2+6j),5,3,4,4,True
164,3j,(3+0j),6,3,1,0,True
165,3j,(3+1j),4,3,5,5,True
166,3j,(3+2j),2,3,3,5,True
167,3j,(3+3j),0,3,-1,5.0,True
168,3j,(3+4j),5,3,4,1,True
169,3j,(3+5j),3,3,2,1,True
170,3j,(3+6j),1,3,6,6,True
171,3j,(4+0j),1,3,6,0,True
172,3j,(4+1j),3,3,2,5,True
173,3j,(4+2j),5,3,4,5,True
174,3j,(4+3j),0,3,-1,2.0,True
175,3j,(4+4j),2,3,3,1,True
176,3j,(4+5j),4,3,5,1,True
177,3j,(4+6j),6,3,1,6,True
178,3j,(5+0j),5,3,4,2,True
179,3j,(5+1j),1,3,6,1,True
180,3j,(5+2j),4,3,5,4,True
181,3j,(5+3j),0,3,-1,6.0,True
182,3j,(5+4j),3,3,2,2,True
183,3j,(5+5j),6,3,1,5,True
184,3j,(5+6j),2,3,3,4,True
185,3j,(6+0j),3,3,2,6,True
186,3j,(6+1j),2,3,3,0,True
187,3j,(6+2j),1,3,6,2,True
188,3j,(6+3j),0,3,-1,3.0,True
189,3j,(6+4j),6,3,1,4,True
190,3j,(6+5j),5,3,4,6,True
191,3j,(6+6j),4,3,5,0,True
192,4j,0j,-1,0,0,2,True
193,4j,1j,-1,0,0,6,True
194,4j,2j,-1,0,0,3,True
195,4j,3j,-1,0,0,0,True
196,4j,5j,-1,0,0,1,True
197,4j,6j,-1,0,0,5,True
198,4j,(1+0j),3,4,2,1,True
199,4j,(1+1j),4,4,5,0,True
200,4j,(1+2j),5,4,4,1,True
201,4j,(1+3j),6,4,1,3,True
202,4j,(1+4j),0,4,-1,4.0,True
203,4j,(1+5j),1,4,6,5,True
204,4j,(1+6j),2,4,3,0,True
205,4j,(2+0j),5,4,4,5,True
206,4j,(2+1j),2,4,3,3,True
207,4j,(2+2j),6,4,1,2,True
208,4j,(2+3j),3,4,2,5,True
209,4j,(2+4j),0,4,-1,1.0,True
210,4j,(2+5j),4,4,5,3,True
211,4j,(2+6j),1,4,6,6,True
212,4j,(3+0j),1,4,6,0,True
213,4j,(3+1j),6,4,1,1,True
214,4j,(3+2j),4,4,5,6,True
215,4j,(3+3j),2,4,3,6,True
216,4j,(3+4j),0,4,-1,5.0,True
217,4j,(3+5j),5,4,4,2,True
218,4j,(3+6j),3,4,2,2,True
219,4j,(4+0j),6,4,1,0,True
220,4j,(4+1j),1,4,6,1,True
221,4j,(4+2j),3,4,2,6,True
222,4j,(4+3j),5,4,4,6,True
223,4j,(4+4j),0,4,-1,2.0,True
224,4j,(4+5j),2,4,3,2,True
225,4j,(4+6j),4,4,5,2,True
226,4j,(5+0j),2,4,3,5,True
227,4j,(5+1j),5,4,4,3,True
228,4j,(5+2j),1,4,6,2,True
229,4j,(5+3j),4,4,5,5,True
230,4j,(5+4j),0,4,-1,6.0,True
231,4j,(5+5j),3,4,2,3,True
232,4j,(5+6j),6,4,1,6,True
233,4j,(6+0j),4,4,5,1,True
234,4j,(6+1j),3,4,2,0,True
235,4j,(6+2j),2,4,3,1,True
236,4j,(6+3j),1,4,6,3,True
237,4j,(6+4j),0,4,-1,3.0,True
238,4j,(6+5j),6,4,1,5,True
239,4j,(6+6j),5,4,4,0,True
240,5j,0j,-1,0,0,6,True
241,5j,1j,-1,0,0,3,True
242,5j,2j,-1,0,0,0,True
243,5j,3j,-1,0,0,4,True
244,5j,4j,-1,0,0,1,True
245,5j,6j,-1,0,0,2,True
246,5j,(1+0j),2,5,3,1,True
247,5j,(1+1j),3,5,2,2,True
248,5j,(1+2j),4,5,5,1,True
249,5j,(1+3j),5,5,4,2,True
250,5j,(1+4j),6,5,1,4,True
251,5j,(1+5j),0,5,-1,4.0,True
252,5j,(1+6j),1,5,6,6,True
253,5j,(2+0j),1,5,6,0,True
254,5j,(2+1j),5,5,4,6,True
255,5j,(2+2j),2,5,3,4,True
256,5j,(2+3j),6,5,1,3,True
257,5j,(2+4j),3,5,2,6,True
258,5j,(2+5j),0,5,-1,1.0,True
259,5j,(2+6j),4,5,5,4,True
260,5j,(3+0j),3,5,2,3,True
261,5j,(3+1j),1,5,6,1,True
262,5j,(3+2j),6,5,1,2,True
263,5j,(3+3j),4,5,5,0,True
264,5j,(3+4j),2,5,3,0,True
265,5j,(3+5j),0,5,-1,5.0,True
266,5j,(3+6j),5,5,4,3,True
267,5j,(4+0j),4,5,5,3,True
268,5j,(4+1j),6,5,1,1,True
269,5j,(4+2j),1,5,6,2,True
270,5j,(4+3j),3,5,2,0,True
271,5j,(4+4j),5,5,4,0,True
272,5j,(4+5j),0,5,-1,2.0,True
273,5j,(4+6j),2,5,3,3,True
274,5j,(5+0j),6,5,1,0,True
275,5j,(5+1j),2,5,3,6,True
276,5j,(5+2j),5,5,4,4,True
277,5j,(5+3j),1,5,6,3,True
278,5j,(5+4j),4,5,5,6,True
279,5j,(5+5j),0,5,-1,6.0,True
280,5j,(5+6j),3,5,2,4,True
281,5j,(6+0j),5,5,4,1,True
282,5j,(6+1j),4,5,5,2,True
283,5j,(6+2j),3,5,2,1,True
284,5j,(6+3j),2,5,3,2,True
285,5j,(6+4j),1,5,6,4,True
286,5j,(6+5j),0,5,-1,3.0,True
287,5j,(6+6j),6,5,1,6,True
288,6j,0j,-1,0,0,3,True
289,6j,1j,-1,0,0,0,True
290,6j,2j,-1,0,0,4,True
291,6j,3j,-1,0,0,1,True
292,6j,4j,-1,0,0,5,True
293,6j,5j,-1,0,0,2,True
294,6j,(1+0j),1,6,6,0,True
295,6j,(1+1j),2,6,3,2,True
296,6j,(1+2j),3,6,2,3,True
297,6j,(1+3j),4,6,5,2,True
298,6j,(1+4j),5,6,4,3,True
299,6j,(1+5j),6,6,1,5,True
300,6j,(1+6j),0,6,-1,4.0,True
301,6j,(2+0j),4,6,5,5,True
302,6j,(2+1j),1,6,6,1,True
303,6j,(2+2j),5,6,4,0,True
304,6j,(2+3j),2,6,3,5,True
305,6j,(2+4j),6,6,1,4,True
306,6j,(2+5j),3,6,2,0,True
307,6j,(2+6j),0,6,-1,1.0,True
308,6j,(3+0j),5,6,4,4,True
309,6j,(3+1j),3,6,2,4,True
310,6j,(3+2j),1,6,6,2,True
311,6j,(3+3j),6,6,1,3,True
312,6j,(3+4j),4,6,5,1,True
313,6j,(3+5j),2,6,3,1,True
314,6j,(3+6j),0,6,-1,5.0,True
315,6j,(4+0j),2,6,3,4,True
316,6j,(4+1j),4,6,5,4,True
317,6j,(4+2j),6,6,1,2,True
318,6j,(4+3j),1,6,6,3,True
319,6j,(4+4j),3,6,2,1,True
320,6j,(4+5j),5,6,4,1,True
321,6j,(4+6j),0,6,-1,2.0,True
322,6j,(5+0j),3,6,2,5,True
323,6j,(5+1j),6,6,1,1,True
324,6j,(5+2j),2,6,3,0,True
325,6j,(5+3j),5,6,4,5,True
326,6j,(5+4j),1,6,6,4,True
327,6j,(5+5j),4,6,5,0,True
328,6j,(5+6j),0,6,-1,6.0,True
329,6j,(6+0j),6,6,1,0,True
330,6j,(6+1j),5,6,4,2,True
331,6j,(6+2j),4,6,5,3,True
332,6j,(6+3j),3,6,2,2,True
333,6j,(6+4j),2,6,3,3,True
334,6j,(6+5j),1,6,6,5,True
335,6j,(6+6j),0,6,-1,3.0,True
336,(1+0j),0j,0,0,-1,4.0,True
337,(1+0j),1j,6,1,1,0,True
338,(1+0j),2j,5,2,4,6,True
339,(1+0j),3j,4,3,5,6,True
340,(1+0j),4j,3,4,2,1,True
341,(1+0j),5j,2,5,3,1,True
342,(1+0j),6j,1,6,6,0,True
343,(1+0j),(1+1j),-1,1,0,4,True
344,(1+0j),(1+2j),-1,1,0,1,True
345,(1+0j),(1+3j),-1,1,0,5,True
346,(1+0j),(1+4j),-1,1,0,2,True
347,(1+0j),(1+5j),-1,1,0,6,True
348,(1+0j),(1+6j),-1,1,0,3,True
349,(1+0j),(2+0j),0,0,-1,5.0,True
350,(1+0j),(2+1j),1,6,6,2,True
351,(1+0j),(2+2j),2,5,3,0,True
352,(1+0j),(2+3j),3,4,2,2,True
353,(1+0j),(2+4j),4,3,5,5,True
354,(1+0j),(2+5j),5,2,4,0,True
355,(1+0j),(2+6j),6,1,1,5,True
356,(1+0j),(3+0j),0,0,-1,2.0,True
357,(1+0j),(3+1j),4,3,5,1,True
358,(1+0j),(3+2j),1,6,6,3,True
359,(1+0j),(3+3j),5,2,4,4,True
360,(1+0j),(3+4j),2,5,3,3,True
361,(1+0j),(3+5j),6,1,1,4,True
362,(1+0j),(3+6j),3,4,2,6,True
363,(1+0j),(4+0j),0,0,-1,6.0,True
364,(1+0j),(4+1j),5,2,4,1,True
365,(1+0j),(4+2j),3,4,2,3,True
366,(1+0j),(4+3j),1,6,6,4,True
367,(1+0j),(4+4j),6,1,1,3,True
368,(1+0j),(4+5j),4,3,5,4,True
369,(1+0j),(4+6j),2,5,3,6,True
370,(1+0j),(5+0j),0,0,-1,3.0,True
371,(1+0j),(5+1j),2,5,3,2,True
372,(1+0j),(5+2j),4,3,5,0,True
373,(1+0j),(5+3j),6,1,1,2,True
374,(1+0j),(5+4j),1,6,6,5,True
375,(1+0j),(5+5j),3,4,2,0,True
376,(1+0j),(5+6j),5,2,4,5,True
377,(1+0j),(6+0j),0,0,-1,0.0,True
378,(1+0j),(6+1j),3,4,2,4,True
379,(1+0j),(6+2j),6,1,1,1,True
380,(1+0j),(6+3j),2,5,3,5,True
381,(1+0j),(6+4j),5,2,4,2,True
382,(1+0j),(6+5j),1,6,6,6,True
383,(1+0j),(6+6j),4,3,5,3,True
384,(1+1j),0j,1,0,6,1,True
385,(1+1j),1j,0,1,-1,4.0,True
386,(1+1j),2j,6,2,1,1,True
387,(1+1j),3j,5,3,4,0,True
388,(1+1j),4j,4,4,5,0,True
389,(1+1j),5j,3,5,2,2,True
390,(1+1j),6j,2,6,3,2,True
391,(1+1j),(1+0j),-1,1,0,4,True
392,(1+1j),(1+2j),-1,1,0,5,True
393,(1+1j),(1+3j),-1,1,0,2,True
394,(1+1j),(1+4j),-1,1,0,6,True
395,(1+1j),(1+5j),-1,1,0,3,True
396,(1+1j),(1+6j),-1,1,0,0,True
397,(1+1j),(2+0j),6,2,1,6,True
398,(1+1j),(2+1j),0,1,-1,5.0,True
399,(1+1j),(2+2j),1,0,6,3,True
400,(1+1j),(2+3j),2,6,3,1,True
401,(1+1j),(2+4j),3,5,2,3,True
402,(1+1j),(2+5j),4,4,5,6,True
403,(1+1j),(2+6j),5,3,4,1,True
404,(1+1j),(3+0j),3,5,2,0,True
405,(1+1j),(3+1j),0,1,-1,2.0,True
406,(1+1j),(3+2j),4,4,5,2,True
407,(1+1j),(3+3j),1,0,6,4,True
408,(1+1j),(3+4j),5,3,4,5,True
409,(1+1j),(3+5j),2,6,3,4,True
410,(1+1j),(3+6j),6,2,1,5,True
411,(1+1j),(4+0j),2,6,3,0,True
412,(1+1j),(4+1j),0,1,-1,6.0,True
413,(1+1j),(4+2j),5,3,4,2,True
414,(1+1j),(4+3j),3,5,2,4,True
415,(1+1j),(4+4j),1,0,6,5,True
416,(1+1j),(4+5j),6,2,1,4,True
417,(1+1j),(4+6j),4,4,5,5,True
418,(1+1j),(5+0j),5,3,4,6,True
419,(1+1j),(5+1j),0,1,-1,3.0,True
420,(1+1j),(5+2j),2,6,3,3,True
421,(1+1j),(5+3j),4,4,5,1,True
422,(1+1j),(5+4j),6,2,1,3,True
423,(1+1j),(5+5j),1,0,6,6,True
424,(1+1j),(5+6j),3,5,2,1,True
425,(1+1j),(6+0j),4,4,5,4,True
426,(1+1j),(6+1j),0,1,-1,0.0,True
427,(1+1j),(6+2j),3,5,2,5,True
428,(1+1j),(6+3j),6,2,1,2,True
429,(1+1j),(6+4j),2,6,3,6,True
430,(1+1j),(6+5j),5,3,4,3,True
431,(1+1j),(6+6j),1,0,6,0,True
432,(1+2j),0j,2,0,3,3,True
433,(1+2j),1j,1,1,6,2,True
434,(1+2j),2j,0,2,-1,4.0,True
435,(1+2j),3j,6,3,1,2,True
436,(1+2j),4j,5,4,4,1,True
437,(1+2j),5j,4,5,5,1,True
438,(1+2j),6j,3,6,2,3,True
439,(1+2j),(1+0j),-1,1,0,1,True
440,(1+2j),(1+1j),-1,1,0,5,True
441,(1+2j),(1+3j),-1,1,0,6,True
442,(1+2j),(1+4j),-1,1,0,3,True
443,(1+2j),(1+5j),-1,1,0,0,True
444,(1+2j),(1+6j),-1,1,0,4,True
445,(1+2j),(2+0j),5,4,4,2,True
446,(1+2j),(2+1j),6,3,1,0,True
447,(1+2j),(2+2j),0,2,-1,5.0,True
448,(1+2j),(2+3j),1,1,6,4,True
449,(1+2j),(2+4j),2,0,3,2,True
450,(1+2j),(2+5j),3,6,2,4,True
451,(1+2j),(2+6j),4,5,5,0,True
452,(1+2j),(3+0j),6,3,1,6,True
453,(1+2j),(3+1j),3,6,2,1,True
454,(1+2j),(3+2j),0,2,-1,2.0,True
455,(1+2j),(3+3j),4,5,5,3,True
456,(1+2j),(3+4j),1,1,6,5,True
457,(1+2j),(3+5j),5,4,4,6,True
458,(1+2j),(3+6j),2,0,3,5,True
459,(1+2j),(4+0j),4,5,5,6,True
460,(1+2j),(4+1j),2,0,3,1,True
461,(1+2j),(4+2j),0,2,-1,6.0,True
462,(1+2j),(4+3j),5,4,4,3,True
463,(1+2j),(4+4j),3,6,2,5,True
464,(1+2j),(4+5j),1,1,6,6,True
465,(1+2j),(4+6j),6,3,1,5,True
466,(1+2j),(5+0j),3,6,2,2,True
467,(1+2j),(5+1j),5,4,4,0,True
468,(1+2j),(5+2j),0,2,-1,3.0,True
469,(1+2j),(5+3j),2,0,3,4,True
470,(1+2j),(5+4j),4,5,5,2,True
471,(1+2j),(5+5j),6,3,1,4,True
472,(1+2j),(5+6j),1,1,6,0,True
473,(1+2j),(6+0j),1,1,6,1,True
474,(1+2j),(6+1j),4,5,5,5,True
475,(1+2j),(6+2j),0,2,-1,0.0,True
476,(1+2j),(6+3j),3,6,2,6,True
477,(1+2j),(6+4j),6,3,1,3,True
478,(1+2j),(6+5j),2,0,3,0,True
479,(1+2j),(6+6j),5,4,4,4,True
480,(1+3j),0j,3,0,2,4,True
481,(1+3j),1j,2,1,3,4,True
482,(1+3j),2j,1,2,6,3,True
483,(1+3j),3j,0,3,-1,4.0,True
484,(1+3j),4j,6,4,1,3,True
485,(1+3j),5j,5,5,4,2,True
486,(1+3j),6j,4,6,5,2,True
487,(1+3j),(1+0j),-1,1,0,5,True
488,(1+3j),(1+1j),-1,1,0,2,True
489,(1+3j),(1+2j),-1,1,0,6,True
490,(1+3j),(1+4j),-1,1,0,0,True
491,(1+3j),(1+5j),-1,1,0,4,True
492,(1+3j),(1+6j),-1,1,0,1,True
493,(1+3j),(2+0j),4,6,5,1,True
494,(1+3j),(2+1j),5,5,4,3,True
495,(1+3j),(2+2j),6,4,1,1,True
496,(1+3j),(2+3j),0,3,-1,5.0,True
497,(1+3j),(2+4j),1,2,6,5,True
498,(1+3j),(2+5j),2,1,3,3,True
499,(1+3j),(2+6j),3,0,2,5,True
500,(1+3j),(3+0j),2,1,3,6,True
501,(1+3j),(3+1j),6,4,1,0,True
502,(1+3j),(3+2j),3,0,2,2,True
503,(1+3j),(3+3j),0,3,-1,2.0,True
504,(1+3j),(3+4j),4,6,5,4,True
505,(1+3j),(3+5j),1,2,6,6,True
506,(1+3j),(3+6j),5,5,4,0,True
507,(1+3j),(4+0j),6,4,1,6,True
508,(1+3j),(4+1j),4,6,5,0,True
509,(1+3j),(4+2j),2,1,3,2,True
510,(1+3j),(4+3j),0,3,-1,6.0,True
511,(1+3j),(4+4j),5,5,4,4,True
512,(1+3j),(4+5j),3,0,2,6,True
513,(1+3j),(4+6j),1,2,6,0,True
514,(1+3j),(5+0j),1,2,6,1,True
515,(1+3j),(5+1j),3,0,2,3,True
516,(1+3j),(5+2j),5,5,4,1,True
517,(1+3j),(5+3j),0,3,-1,3.0,True
518,(1+3j),(5+4j),2,1,3,5,True
519,(1+3j),(5+5j),4,6,5,3,True
520,(1+3j),(5+6j),6,4,1,5,True
521,(1+3j),(6+0j),5,5,4,5,True
522,(1+3j),(6+1j),1,2,6,2,True
523,(1+3j),(6+2j),4,6,5,6,True
524,(1+3j),(6+3j),0,3,-1,0.0,True
525,(1+3j),(6+4j),3,0,2,0,True
526,(1+3j),(6+5j),6,4,1,4,True
527,(1+3j),(6+6j),2,1,3,1,True
528,(1+4j),0j,4,0,5,3,True
529,(1+4j),1j,3,1,2,5,True
530,(1+4j),2j,2,2,3,5,True
531,(1+4j),3j,1,3,6,4,True
532,(1+4j),4j,0,4,-1,4.0,True
533,(1+4j),5j,6,5,1,4,True
534,(1+4j),6j,5,6,4,3,True
535,(1+4j),(1+0j),-1,1,0,2,True
536,(1+4j),(1+1j),-1,1,0,6,True
537,(1+4j),(1+2j),-1,1,0,3,True
538,(1+4j),(1+3j),-1,1,0,0,True
539,(1+4j),(1+5j),-1,1,0,1,True
540,(1+4j),(1+6j),-1,1,0,5,True
541,(1+4j),(2+0j),3,1,2,6,True
542,(1+4j),(2+1j),4,0,5,2,True
543,(1+4j),(2+2j),5,6,4,4,True
544,(1+4j),(2+3j),6,5,1,2,True
545,(1+4j),(2+4j),0,4,-1,5.0,True
546,(1+4j),(2+5j),1,3,6,6,True
547,(1+4j),(2+6j),2,2,3,4,True
548,(1+4j),(3+0j),5,6,4,1,True
549,(1+4j),(3+1j),2,2,3,0,True
550,(1+4j),(3+2j),6,5,1,1,True
551,(1+4j),(3+3j),3,1,2,3,True
552,(1+4j),(3+4j),0,4,-1,2.0,True
553,(1+4j),(3+5j),4,0,5,5,True
554,(1+4j),(3+6j),1,3,6,0,True
555,(1+4j),(4+0j),1,3,6,1,True
556,(1+4j),(4+1j),6,5,1,0,True
557,(1+4j),(4+2j),4,0,5,1,True
558,(1+4j),(4+3j),2,2,3,3,True
559,(1+4j),(4+4j),0,4,-1,6.0,True
560,(1+4j),(4+5j),5,6,4,5,True
561,(1+4j),(4+6j),3,1,2,0,True
562,(1+4j),(5+0j),6,5,1,6,True
563,(1+4j),(5+1j),1,3,6,2,True
564,(1+4j),(5+2j),3,1,2,4,True
565,(1+4j),(5+3j),5,6,4,2,True
566,(1+4j),(5+4j),0,4,-1,3.0,True
567,(1+4j),(5+5j),2,2,3,6,True
568,(1+4j),(5+6j),4,0,5,4,True
569,(1+4j),(6+0j),2,2,3,2,True
570,(1+4j),(6+1j),5,6,4,6,True
571,(1+4j),(6+2j),1,3,6,3,True
572,(1+4j),(6+3j),4,0,5,0,True
573,(1+4j),(6+4j),0,4,-1,0.0,True
574,(1+4j),(6+5j),3,1,2,1,True
575,(1+4j),(6+6j),6,5,1,5,True
576,(1+5j),0j,5,0,4,4,True
577,(1+5j),1j,4,1,5,4,True
578,(1+5j),2j,3,2,2,6,True
579,(1+5j),3j,2,3,3,6,True
580,(1+5j),4j,1,4,6,5,True
581,(1+5j),5j,0,5,-1,4.0,True
582,(1+5j),6j,6,6,1,5,True
583,(1+5j),(1+0j),-1,1,0,6,True
584,(1+5j),(1+1j),-1,1,0,3,True
585,(1+5j),(1+2j),-1,1,0,0,True
586,(1+5j),(1+3j),-1,1,0,4,True
587,(1+5j),(1+4j),-1,1,0,1,True
588,(1+5j),(1+6j),-1,1,0,2,True
589,(1+5j),(2+0j),2,3,3,5,True
590,(1+5j),(2+1j),3,2,2,0,True
591,(1+5j),(2+2j),4,1,5,3,True
592,(1+5j),(2+3j),5,0,4,5,True
593,(1+5j),(2+4j),6,6,1,3,True
594,(1+5j),(2+5j),0,5,-1,5.0,True
595,(1+5j),(2+6j),1,4,6,0,True
596,(1+5j),(3+0j),1,4,6,1,True
597,(1+5j),(3+1j),5,0,4,2,True
598,(1+5j),(3+2j),2,3,3,1,True
599,(1+5j),(3+3j),6,6,1,2,True
600,(1+5j),(3+4j),3,2,2,4,True
601,(1+5j),(3+5j),0,5,-1,2.0,True
602,(1+5j),(3+6j),4,1,5,6,True
603,(1+5j),(4+0j),3,2,2,1,True
604,(1+5j),(4+1j),1,4,6,2,True
605,(1+5j),(4+2j),6,6,1,1,True
606,(1+5j),(4+3j),4,1,5,2,True
607,(1+5j),(4+4j),2,3,3,4,True
608,(1+5j),(4+5j),0,5,-1,6.0,True
609,(1+5j),(4+6j),5,0,4,6,True
610,(1+5j),(5+0j),4,1,5,5,True
611,(1+5j),(5+1j),6,6,1,0,True
612,(1+5j),(5+2j),1,4,6,3,True
613,(1+5j),(5+3j),3,2,2,5,True
614,(1+5j),(5+4j),5,0,4,3,True
615,(1+5j),(5+5j),0,5,-1,3.0,True
616,(1+5j),(5+6j),2,3,3,0,True
617,(1+5j),(6+0j),6,6,1,6,True
618,(1+5j),(6+1j),2,3,3,3,True
619,(1+5j),(6+2j),5,0,4,0,True
620,(1+5j),(6+3j),1,4,6,4,True
